url,recipe_name,ingredients
https://www.halfbakedharvest.com/death-by-chocolate-cupcakes/,Death By Chocolate Cupcakes,"['7 oz bittersweet chocolate (finely chopped)', '3 tablespoons water', '4  large eggs (at room temperature, separated (use pasteurized eggs, if you are concerned about eating raw eggs))', 'Pinch of coarse salt', '1 1/8 cups all-purpose flour', '1/3 cup cocoa powder', '1/2 cup sugar', '1/2 teaspoon salt', '3/4 teaspoon baking soda', '3/4 teaspoon baking powder', '1  egg', '1/2 cup buttermilk', '1/4 cup canola oil', '2 teaspoons vanilla extract', '1/4 cup Kahlua', '1/2 cup cold heavy whipping cream', '1/2 tablespoon powdered sugar', '1/2 teaspoon vanilla extract', '1/2 teaspoon Kahlua', '1/8 cup water', '1/4 cup brown sugar', '1/2 cup heavy cream', '1 tablespoon Kahlua', '1/4 teaspoon sea salt', '2 tablespoons semi-sweet chocolate chips', '1/2 cup chopped Snickers']"
https://www.halfbakedharvest.com/bani-mi-asian-burgers/,Banh Mi Asian Burgers,"['1 pound ground chicken', '1 tablespoon fish sauce', '1 teaspoon lime juice', '2 teaspoons soy sauce', '2  gloves garlic (grated)', '2 teaspoons fresh grated ginger', '1/2 teaspoon pepper', '1/4 cup cilantro (chopped)', '3  green onions (chopped)', '1 tablespoon sesame oil', '1/3 cup greek yogurt (you can use mayonnaise)', '2 teaspoons sriracha', '4  whole wheat hamburger buns (toasted)', '1/3  English cucumber (cut into 16 spears)', '1/2 cup fresh cilantro', '1/4 cup pickled jalapeños', '4 leaves butter lettuce', '1  carrot (shredded)', '4  fried eggs (optional (but you should do it))']"
https://www.halfbakedharvest.com/grilled-banana-bread-peanut-butter-smore-with-vanilla-marshmallows/,Grilled Banana Bread Peanut Butter S&#8217;more with Vanilla Marshmallows,"['4 slices thick [graham cracker banana bread|https://www.halfbakedharvest.com/whole-wheat-graham-cracker-banana-bread/] or other bread', '2 tablespoons creamy peanut butter', '4 ounce square of dark chocolate (1/2)', '4  vanilla marshmallows', 'butter (for the pan)', '2  packets of gelatin', '8 tablespoons of cold water', '1 1/2 cups granulated sugar', '1/3 cup cold water', '3 teaspoons vanilla extract', '1/4 teaspoon salt']"
https://www.halfbakedharvest.com/grilled-tex-mex-chicken-and-quinoa-wraps/,Grilled Tex-Mex Chicken and Quinoa Wraps,"['4  whole wheat tortillas', '1 pound boneless chicken breast', '2 tablespoons olive oil', '1 tablespoon taco seasoning', '1 cup cooked quinoa', '1  red pepper (sliced thin)', '2 cups spinach', '1  avocado (sliced)', '4 ounces sharp cheddar cheese (grated)', '1/4 cup fresh cilantro', '1/2 cup ketchup', '1 tablespoon taco seasoning', '2 teaspoons brown sugar', '1 teaspoon smoked paprika', '1 teaspoon chipotle in adobo', '3 tablespoons fresh chopped cilantro', '1/2  lime (juiced)', 'pinch of salt + pepper']"
https://www.halfbakedharvest.com/whole-wheat-graham-cracker-banana-bread/,Whole Wheat Graham Cracker Banana Bread,"['1 1/2 cups [graham cracker crumbs|https://www.halfbakedharvest.com/honey-bunny-grahams/]', '1/2 cup whole wheat pastry flour or white whole wheat flour', '1 teaspoon baking soda', '1/2 teaspoon salt', '1/4 teaspoon cinnamon', '2  eggs', '1/2 cup loosely packed brown sugar', '1/3 cup canned coconut milk', '1/2 cup canola oil', '4  very ripe bananas (mashed)', '1 teaspoon vanilla extract']"
https://www.halfbakedharvest.com/chocolate-chip-cookie-dough-special-k-bars/,Chocolate Chip Cookie Dough Special K-Bars,"['1 cup karo syrup (or brown rice syrup)', '1 cup creamy peanut butter', '1/2  sugar', '4 1/2 cups corn flakes', '2 cups roasted (salted cashews)', '1/2 cup raw unsalted pecans', '2 tablespoons sugar', '2 tablespoons sucanat or brown sugar', '1/2 tablespoons butter (softened)', '2 teaspoons pure vanilla extract', '1/2 cup mini chocolate chips', '2 1/2 cups dark chocolate chips or milk chocolate chips']"
https://www.halfbakedharvest.com/grilled-buffalo-shrimp-sandwiches-with-spicy-avocado-ranch/,Grilled Buffalo Shrimp Sandwich with Spicy Avocado Ranch Dressing,"['1 pound of peeled and deveined raw shrimp', '1 teaspoon olive oil', '7 tablespoons butter (melted)', '1/2 cup hot sauce', '1 teaspoon seasoned salt', '1  large avocado (peeled and pitted)', '1/2 cup greek yogurt', '2 teaspoons fresh parsley (chopped)', '2 teaspoons dried dill', '1/2 teaspoon smoked paprika', '1/4 teaspoon onion powder', '1 clove garlic (minced)', '1 teaspoon worcestershire sauce', '1/2 teaspoon vinegar', '2 teaspoons hot sauce (I use Franks)', 'pinch of salt and pepper', '1  baguette (toasted)', 'lettuce (for layering)', '4 ounces blue cheese (crumbled)', 'buffalo sauce (for drizzling)', 'spicy avocado ranch (for spreading)']"
https://www.halfbakedharvest.com/spring-vegetable-lo-mein/,Spring Vegetable Lo Mein,"['1 ounce package dried lo mein noodles (10)', '2 tablespoons sesame oil', '1/2 cup small head cabbage (thinly sliced (1 ))', '1  red bell pepper (thinly sliced lengthwise)', '1  red orange pepper (thinly sliced lengthwise)', '1/4 pound mushrooms (stems discarded and caps thinly sliced, any variety is fine)', '6 ounces snowpeas (trimmed (I never trim mine, but you might want to), maybe about a cup and a half)', '1  carrot (peeled and cut into matchsticks)', '1/3 cup soy sauce', '2 tablespoons rice vinegar', '2 tablespoon toasted sesame oil', '1 teaspoon fish sauce', '1 teaspoon sambal oelek (optional)', '2 tablespoons fresh ginger (grated)', '2 cloves garlic (minced or grated)', '2 cups cooked chicken (sliced into bite-size pieces (optional, I made this with the chicken))', '1/4 cup chopped cashews (for sprinkling, or peanuts)', 'fresh cilantro (chopped, for garnish)']"
https://www.halfbakedharvest.com/honey-mustard-pretzel-crusted-chicken-salad-with-spicy-honey-mustard-dressing/,Honey Mustard Pretzel Crusted Chicken Salad with Spicy Honey Mustard Dressing,"['1 pound boneless skinless chicken tenders (or 2 large breast (cut into tenders))', '1 1/4 cups crushed thin pretzel twists', '2  egg whites', '1/4 cup dijon mustard', '1 tablespoon honey', '1 teaspoon seasoned salt', '1/4 cup dijon mustard', '1/4 cup honey', '1/4 cup olive oil', '1/2  lime (juiced)', '1/2 teaspoon smoked paprika', '1 teaspoon pepper', '2 cups tiny twist pretzels (for the honey mustard roasted pretzel-croutons)', '4-6 cup bib lettuce (or a mix of lettuce and spinach)', '2 cups sliced strawberries', '1  large avocado (diced)', '2 ounces feta cheese (crumbled)']"
https://www.halfbakedharvest.com/homemade-barbecue-sauce-just-like-sweet-baby-rays/,Homemade Barbecue Sauce&#8230;&#8230;Just like Sweet Baby Ray&#8217;s!,"['1 1/4 cups ketchup (preferably organic)', '1 cup dark brown sugar', '1/4 cup molasses', '1/4 cup pineapple juice (or you can sub apple cider vinegar)', '1/4 cup water', '1 tablespoon worchestire sauce', '2 1/2 teaspoons ground mustard', '2 teaspoons smoked paprika', '1/2 teaspoon garlic powder', ""1/4-1/2 teaspoon cayenne pepper (use less if you don't like the heat)"", '1 1/2 teaspoons kosher salt', '1 teaspoon pepper']"
